Model,Accuracy,F1 (weighted),F1 (violation),AUC-ROC,Avg Precision,G-mean,Kappa,OOB Error,Train time (s)
RF + RandomOverSampler,0.9711,0.9706,0.9409,0.9654,0.9521,0.9444,0.9219,0.054,739.2
GBT + RandomOverSampler,0.9594,0.959,0.9189,0.9658,0.9515,0.937,0.8919,N/A,45.2
